Top Charts from 2001-09-01,Master Of Puppets,Master Of Puppets (Remastered),https://open.spotify.com/track/2MuWTIM3b0YEAskbeeFE1i
Top Charts from 2001-09-01,Part III,Jinx,https://open.spotify.com/track/49ztutPq82dK8AYDO2OkN7
Top Charts from 2001-09-01,My Cinderella,Romeoland,https://open.spotify.com/track/5tVKol3hYse6uiX6bdg5m2
Top Charts from 2001-09-01,The Cowboy In Me,Set This Circus Down,https://open.spotify.com/track/7iGdNkROFlxqUJkHNlkoQV
Top Charts from 2001-02-03,12 to 12,12 to 12,https://open.spotify.com/track/6MrLkXsMmHaYt680fhJUAq
Top Charts from 2001-02-03,Hotshot,All Yours,https://open.spotify.com/track/37X5yubK6VKu8nEGv6fcGm
Top Charts from 2001-02-03,Soundtrack Za Život,101 Hit - Rock,https://open.spotify.com/track/3XdBkEDZpUpbIDsr5WZWJi
Top Charts from 2001-02-03,Losing My Religion,Out Of Time (25th Anniversary Edition),https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx
Top Charts from 2001-02-03,Human Clay,RULE,https://open.spotify.com/track/2O4ftyUWPRtZJ2puN7g9Hj
Top Charts from 2001-02-03,Lovers Rock,French Exit,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM
Top Charts from 2001-02-03,Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,https://open.spotify.com/track/3IV4swNduIRunHREK80owz
Top Charts from 2001-02-03,No Angels,No Angels,https://open.spotify.com/track/0rILJVRD7waDGOFzoyruI2
Top Charts from 2001-02-03,Ms. Jackson,Stankonia,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV
Top Charts from 2001-02-03,It Ain't Over 'Til It's Over,Greatest Hits,https://open.spotify.com/track/3aZPzF7Sr0zy3K0EkKyEzk
Top Charts from 2001-02-03,Lay Low,Tha Last Meal,https://open.spotify.com/track/0YHI5hydPPth6J5UOzdLDX
Top Charts from 2001-02-03,Put It On Me,Rule 3:36,https://open.spotify.com/track/0OvwzS8FX73Bw7ykMRmffU
Top Charts from 2001-02-03,Ride Wit Me,Country Grammar,https://open.spotify.com/track/3Gf5nttwcX9aaSQXRWidEZ
Top Charts from 2001-02-03,What's Your Fantasy (Featuring Shawna),Back For The First Time,https://open.spotify.com/track/4LwOrnuxJwR7C5Sw4liY4Z
Top Charts from 2001-02-03,I Wish,TP-2.com,https://open.spotify.com/track/7sOqd1dVmfU5mgqrUtlqc5
Top Charts from 2001-02-03,Butterfly,The Gift Of Game,https://open.spotify.com/track/4BggEwLhGfrbrl7JBhC8EC
Top Charts from 2001-02-03,Bow Wow (That's My Name) (feat. Snoop Dogg),Beware Of Dog,https://open.spotify.com/track/3RnLEACttdwU6futFsaflI
Top Charts from 2001-02-03,Black&Blue,Dark Times,https://open.spotify.com/track/6sKGGi2pVKXR69s1SNdhGv
Top Charts from 2001-02-03,Beautiful Day,All That You Can't Leave Behind,https://open.spotify.com/track/0gzqZ9d1jIKo9psEIthwXe
Top Charts from 2001-02-03,With You,Hybrid Theory (Bonus Edition),https://open.spotify.com/track/5uuXtfqM7Wp3idCxyHeOll
Top Charts from 2001-02-03,Something Like That,Greatest Hits,https://open.spotify.com/track/29BclaZuC6axJm8Ydw1eMN
Top Charts from 2001-02-03,X,Restless,https://open.spotify.com/track/5stZnlPMYz3Ba8Hbo3ajlP
Top Charts from 2001-02-03,How Do U Want It (ft. K-Ci & JoJo),All Eyez On Me,https://open.spotify.com/track/2S2x5N5VJNn7vqYukvoFFC
Top Charts from 2001-02-03,Only Time,A Day Without Rain,https://open.spotify.com/track/6FLwmdmW77N1Pxb1aWsZmO
Top Charts from 2001-02-03,Fly Away,5,https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW
Top Charts from 2001-02-03,Oops!...I Did It Again,Oops!... I Did It Again,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ
Top Charts from 2001-02-03,Breathe (feat. Sean Paul) - Rap Version,Bittersweet,https://open.spotify.com/track/1BPybPVkDfUjFDvqG04l58
Top Charts from 2001-02-03,Bye Bye Bye,No Strings Attached,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn
Top Charts from 2001-02-03,Music Sounds Better With You,Music Sounds Better With You,https://open.spotify.com/track/303ccTay2FiDTZ9fZ2AdBt
Top Charts from 2001-02-03,Just Friends (Sunny),Aijuswanaseing,https://open.spotify.com/track/5jgEJXjECdlhzNgfITSTVm
Top Charts from 2001-02-03,Kryptonite,The Better Life,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6
Top Charts from 2001-02-03,Golden,Beautifully Human: Words and Sounds Vol. 2,https://open.spotify.com/track/28EL5veTZtx38TqxIZwFyQ
Top Charts from 2001-02-03,I Want Candy,Aaron's Party (Come Get It),https://open.spotify.com/track/7sruBwHu4S0DIo8RXKxsAY
Top Charts from 2001-02-03,Shake Ya Ass (feat. Pharrell Williams),Let's Get Ready,https://open.spotify.com/track/1jRzdY7oUBOhrylNtiMtBD
Top Charts from 2001-02-03,River Of Deceit,Above,https://open.spotify.com/track/3e2fDgC93LGc9Lbdvr6I9k
Top Charts from 2001-02-03,This Year's Love,White Ladder (2020 Remaster),https://open.spotify.com/track/1wK6fC3r5fGJ7N4U8R0nOY
Top Charts from 2001-02-03,The Creek,When It All Goes South,https://open.spotify.com/track/6CKSNyxS1JiNsK06G9I6Zy
Top Charts from 2001-02-03,Ni**as In Paris,Watch The Throne,https://open.spotify.com/track/1auxYwYrFRqZP7t3s7w4um
Top Charts from 2001-02-03,I Am A Man Of Constant Sorrow - Radio Edit,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",https://open.spotify.com/track/0YwNdeDFbGP6AGwsQrtzdY
Top Charts from 2001-02-03,Mama's Gun,How To Be A Human Being,https://open.spotify.com/track/5o4znEHwozOHIgHoWAllnr
Top Charts from 2001-02-03,Who Let The Dogs Out,Who Let The Dogs Out,https://open.spotify.com/track/1H5tvpoApNDxvxDexoaAUo
Top Charts from 2001-02-03,Livin' la Vida Loca,Ricky Martin,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd
Top Charts from 2001-02-03,Take Me Home Tonight,Can't Hold Back,https://open.spotify.com/track/7b4yGtR0rujvLi5EBfKKJ2
Top Charts from 2001-02-03,Porcelain,Play,https://open.spotify.com/track/6EXi6ZqTITKGtVBKqbphjL
Top Charts from 2001-02-03,The Real Slim Shady,The Marshall Mathers LP,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
Top Charts from 2001-02-03,Hanging By A Moment,No Name Face,https://open.spotify.com/track/6jWLyg8AuMQ9LtIB2UlfOF
Top Charts from 1998-01-03,If Tomorrow Never Comes,10 Years Of Hits,https://open.spotify.com/track/3b4QImv0nTWtdAe63WtcAQ
Top Charts from 1998-01-03,Cheri Cheri Lady,Let's Talk About Love,https://open.spotify.com/track/2aEuA8PSqLa17Y4hKPj5rr
Top Charts from 1998-01-03,Barbra Streisand - Radio Edit,Barbra Streisand,https://open.spotify.com/track/782lNGn2rEHVn8JomdtRA7
Top Charts from 1998-01-03,You Light Up My Life,Inspirational,https://open.spotify.com/track/6C6mB7krm1AbooCLTN3eTf
Top Charts from 1998-01-03,Tubthumping,Tubthumper,https://open.spotify.com/track/22HYEJveCvykVDHDiEEmjZ
Top Charts from 1998-01-03,Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera (Expanded Edition),https://open.spotify.com/track/7A0apkTSTvMbSI7yplcmlh
Top Charts from 1998-01-03,Spiceworld,T.C.O.D.,https://open.spotify.com/track/0AHslAM3i8ZsByxpVoDBma
Top Charts from 1998-01-03,Middle of Nowhere,Remember Me? EP from Mp,https://open.spotify.com/track/0KnVSP9uNabmU6ph25BOSK
Top Charts from 1998-01-03,Enter Sandman - Remastered 2021,Metallica (Remastered Deluxe Box Set),https://open.spotify.com/track/3DwQ7AH3xGD9h65ezslm6q
Top Charts from 1998-01-03,Butterfly,Butterfly,https://open.spotify.com/track/1GakyY5lyvZGZXZYkk3FjS
Top Charts from 1998-01-03,Push,Yourself or Someone Like You,https://open.spotify.com/track/2KVwlelhxKUy8LVV6JypH3
Top Charts from 1998-01-03,Everybody (Backstreet's Back) - Radio Edit,Backstreet's Back,https://open.spotify.com/track/1di1BEgJYzPvXUuinsYJGP
Top Charts from 1998-01-03,Carnival of the Animals: The Swan,Saint-Saëns: Carnival of the Animals: The Swan,https://open.spotify.com/track/3U8Fx7zNTQrctytkj6Gqgd
Top Charts from 1998-01-03,The Chain - 2004 Remaster,Rumours (Super Deluxe),https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
Top Charts from 1998-01-03,No Way Out,Venom (Deluxe Edition),https://open.spotify.com/track/6yHx2dNnWb1fEChGoulEVc
Top Charts from 1998-01-03,What You Want (feat. Total),Harlem World,https://open.spotify.com/track/6hxn98poTu1O4YZfafvC18
Top Charts from 1998-01-03,MMMBop,Middle Of Nowhere,https://open.spotify.com/track/0lnxrQAd9ZxbhBBe7d8FO8
Top Charts from 1998-01-03,You Were Meant For Me,Pieces Of You,https://open.spotify.com/track/7y7aSSTiQfO0Ace4F7yxzE
Top Charts from 1998-01-03,The Gambler,The Gambler,https://open.spotify.com/track/5KqldkCunQ2rWxruMEtGh0
Top Charts from 1998-01-03,Miami,Big Willie Style,https://open.spotify.com/track/6e8Ou0wiqAzIpWb2eSxll8
Top Charts from 1998-01-03,"Men In Black - From ""Men In Black"" Soundtrack",Men In Black The Album,https://open.spotify.com/track/3Dq2FHZ73hBUG815MoapQu
Top Charts from 1998-01-03,Wannabe,Spice,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
Top Charts from 1998-01-03,Nightingale,Tribute,https://open.spotify.com/track/4PQDu176RmCXkQaxmHOpeb
Top Charts from 1998-01-03,My Way,My Way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
Top Charts from 1998-01-03,Do For Love,R U Still Down? [Remember Me],https://open.spotify.com/track/4AE7Lj39VnSZNOmGH2iZaq
Top Charts from 1998-01-03,Walkin' On The Sun,Fush Yu Mang (20th Anniversary Edition),https://open.spotify.com/track/4TQeNHx85xcP9YRkvJC6K1
Top Charts from 1998-01-03,Cruel Summer,The Greatest Hits Collection (Collector Edition),https://open.spotify.com/track/0wnJdLDUi9fkDl5nxhDlqO
Top Charts from 1998-01-03,Live Your Life,Paper Trail,https://open.spotify.com/track/3jlbL2OTD5YmIunYzgQTAN
Top Charts from 1998-01-03,Evolution,Untitled,https://open.spotify.com/track/4PaPZk1Ozg0TfDTBnbXX38
Top Charts from 1998-01-03,Only Time,A Day Without Rain,https://open.spotify.com/track/6FLwmdmW77N1Pxb1aWsZmO
Top Charts from 1998-01-03,Got 'Til It's Gone,The Velvet Rope,https://open.spotify.com/track/1EhvYd5e7vkoN3udEN1Vyl
Top Charts from 1998-01-03,My Body,Levert.Sweat.Gill,https://open.spotify.com/track/6PyLw3l6ndolBrTPQp3Ibm
Top Charts from 1998-01-03,Surfacing,Slipknot (10th Anniversary Edition),https://open.spotify.com/track/0iget4icTqUya9wtpvCTF2
Top Charts from 1998-01-03,The Girl I Love She Got Long Black Wavy Hair - Live on Tasty Pop Sundae from BBC Sessions;Remaster,The Complete BBC Sessions (Remastered),https://open.spotify.com/track/7ecVrUYlhj6OrKTAK0oDzo
Top Charts from 1998-01-03,How Do I Live,Songbook: A Collection Of Hits,https://open.spotify.com/track/55UDEdpcearZqBPO2aZaGV
